Daily Maximum data	   supplied by UK-air on 11/05/2025
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"London Bloomsbury",
Latitude,51.522290,,
Longitude,-0.125889,,
Site Type,Urban Background,,
Zone,Greater London,,
Agglomeration,Greater London Urban Area,,
Local Authority,"Camden",,
Date,"Ozone",Status
1992-01-23,6,V ugm-3
1992-01-24,8,V ugm-3
1992-01-25,6,V ugm-3
1992-01-26,16,V ugm-3
1992-01-27,No data,V ugm-3
1992-01-28,No data,V ugm-3
1992-01-29,34,V ugm-3
1992-01-30,6,V ugm-3
1992-01-31,6,V ugm-3
1992-02-01,8,V ugm-3
1992-02-02,12,V ugm-3
1992-02-03,40,V ugm-3
1992-02-04,36,V ugm-3
1992-02-05,42,V ugm-3
1992-02-06,14,V ugm-3
1992-02-07,28,V ugm-3
1992-02-08,22,V ugm-3
1992-02-09,44,V ugm-3
1992-02-10,36,V ugm-3
1992-02-11,28,V ugm-3
1992-02-12,24,V ugm-3
1992-02-13,34,V ugm-3
1992-02-14,22,V ugm-3
1992-02-15,40,V ugm-3
1992-02-16,42,V ugm-3
1992-02-17,22,V ugm-3
1992-02-18,24,V ugm-3
1992-02-19,10,V ugm-3
1992-02-20,14,V ugm-3
1992-02-21,10,V ugm-3
1992-02-22,32,V ugm-3
1992-02-23,54,V ugm-3
1992-02-24,62,V ugm-3
1992-02-25,10,V ugm-3
1992-02-26,20,V ugm-3
1992-02-27,42,V ugm-3
1992-02-28,46,V ugm-3
1992-02-29,56,V ugm-3
1992-03-01,46,V ugm-3
1992-03-02,42,V ugm-3
1992-03-03,62,V ugm-3
1992-03-04,28,V ugm-3
1992-03-05,16,V ugm-3
1992-03-06,42,V ugm-3
1992-03-07,30,V ugm-3
1992-03-08,30,V ugm-3
1992-03-09,40,V ugm-3
1992-03-10,46,V ugm-3
1992-03-11,44,V ugm-3
1992-03-12,62,V ugm-3
1992-03-13,70,V ugm-3
1992-03-14,68,V ugm-3
1992-03-15,32,V ugm-3
1992-03-16,8,V ugm-3
1992-03-17,34,V ugm-3
1992-03-18,34,V ugm-3
1992-03-19,38,V ugm-3
1992-03-20,52,V ugm-3
1992-03-21,64,V ugm-3
1992-03-22,58,V ugm-3
1992-03-23,50,V ugm-3
1992-03-24,70,V ugm-3
1992-03-25,36,V ugm-3
1992-03-26,56,V ugm-3
1992-03-27,52,V ugm-3
1992-03-28,50,V ugm-3
1992-03-29,40,V ugm-3
1992-03-30,60,V ugm-3
1992-03-31,54,V ugm-3
1992-04-01,52,V ugm-3
1992-04-02,40,V ugm-3
1992-04-03,56,V ugm-3
1992-04-04,46,V ugm-3
1992-04-05,70,V ugm-3
1992-04-06,44,V ugm-3
1992-04-07,64,V ugm-3
1992-04-08,48,V ugm-3
1992-04-09,54,V ugm-3
1992-04-10,62,V ugm-3
1992-04-11,132,V ugm-3
1992-04-12,56,V ugm-3
1992-04-13,62,V ugm-3
1992-04-14,74,V ugm-3
1992-04-15,64,V ugm-3
1992-04-16,56,V ugm-3
1992-04-17,32,V ugm-3
1992-04-18,46,V ugm-3
1992-04-19,44,V ugm-3
1992-04-20,64,V ugm-3
1992-04-21,66,V ugm-3
1992-04-22,40,V ugm-3
1992-04-23,52,V ugm-3
1992-04-24,54,V ugm-3
1992-04-25,60,V ugm-3
1992-04-26,70,V ugm-3
1992-04-27,64,V ugm-3
1992-04-28,60,V ugm-3
1992-04-29,44,V ugm-3
1992-04-30,40,V ugm-3
1992-05-01,40,V ugm-3
1992-05-02,60,V ugm-3
1992-05-03,80,V ugm-3
1992-05-04,102,V ugm-3
1992-05-05,14,V ugm-3
1992-05-06,52,V ugm-3
1992-05-07,46,V ugm-3
1992-05-08,54,V ugm-3
1992-05-09,56,V ugm-3
1992-05-10,44,V ugm-3
1992-05-11,56,V ugm-3
1992-05-12,66,V ugm-3
1992-05-13,56,V ugm-3
1992-05-14,98,V ugm-3
1992-05-15,58,V ugm-3
1992-05-16,80,V ugm-3
1992-05-17,60,V ugm-3
1992-05-18,52,V ugm-3
1992-05-19,80,V ugm-3
1992-05-20,90,V ugm-3
1992-05-21,102,V ugm-3
1992-05-22,124,V ugm-3
1992-05-23,140,V ugm-3
1992-05-24,118,V ugm-3
1992-05-25,128,V ugm-3
1992-05-26,116,V ugm-3
1992-05-27,No data,V ugm-3
1992-05-28,No data,V ugm-3
1992-05-29,No data,V ugm-3
1992-05-30,No data,V ugm-3
1992-05-31,No data,V ugm-3
1992-06-01,76,V ugm-3
1992-06-02,74,V ugm-3
1992-06-03,70,V ugm-3
1992-06-04,48,V ugm-3
1992-06-05,50,V ugm-3
1992-06-06,72,V ugm-3
1992-06-07,76,V ugm-3
1992-06-08,110,V ugm-3
1992-06-09,44,V ugm-3
1992-06-10,60,V ugm-3
1992-06-11,70,V ugm-3
1992-06-12,74,V ugm-3
1992-06-13,100,V ugm-3
1992-06-14,146,V ugm-3
1992-06-15,108,V ugm-3
1992-06-16,56,V ugm-3
1992-06-17,50,V ugm-3
1992-06-18,38,V ugm-3
1992-06-19,30,V ugm-3
1992-06-20,60,V ugm-3
1992-06-21,66,V ugm-3
1992-06-22,52,V ugm-3
1992-06-23,54,V ugm-3
1992-06-24,46,V ugm-3
1992-06-25,72,V ugm-3
1992-06-26,88,V ugm-3
1992-06-27,132,V ugm-3
1992-06-28,106,V ugm-3
1992-06-29,124,V ugm-3
1992-06-30,98,V ugm-3
1992-07-01,76,V ugm-3
1992-07-02,48,V ugm-3
1992-07-03,36,V ugm-3
1992-07-04,46,V ugm-3
1992-07-05,52,V ugm-3
1992-07-06,60,V ugm-3
1992-07-07,44,V ugm-3
1992-07-08,22,V ugm-3
1992-07-09,26,V ugm-3
1992-07-10,48,V ugm-3
1992-07-11,28,V ugm-3
1992-07-12,52,V ugm-3
1992-07-13,42,V ugm-3
1992-07-14,24,V ugm-3
1992-07-15,24,V ugm-3
1992-07-16,44,V ugm-3
1992-07-17,40,V ugm-3
1992-07-18,50,V ugm-3
1992-07-19,38,V ugm-3
1992-07-20,32,V ugm-3
1992-07-21,62,V ugm-3
1992-07-22,58,V ugm-3
1992-07-23,72,V ugm-3
1992-07-24,54,V ugm-3
1992-07-25,66,V ugm-3
1992-07-26,34,V ugm-3
1992-07-27,42,V ugm-3
1992-07-28,56,V ugm-3
1992-07-29,56,V ugm-3
1992-07-30,144,V ugm-3
1992-07-31,56,V ugm-3
1992-08-01,128,V ugm-3
1992-08-02,42,V ugm-3
1992-08-03,54,V ugm-3
1992-08-04,50,V ugm-3
1992-08-05,46,V ugm-3
1992-08-06,50,V ugm-3
1992-08-07,48,V ugm-3
1992-08-08,80,V ugm-3
1992-08-09,76,V ugm-3
1992-08-10,50,V ugm-3
1992-08-11,36,V ugm-3
1992-08-12,40,V ugm-3
1992-08-13,36,V ugm-3
1992-08-14,22,V ugm-3
1992-08-15,84,V ugm-3
1992-08-16,50,V ugm-3
1992-08-17,32,V ugm-3
1992-08-18,18,V ugm-3
1992-08-19,No data,V ugm-3
1992-08-20,44,V ugm-3
1992-08-21,38,V ugm-3
1992-08-22,32,V ugm-3
1992-08-23,44,V ugm-3
1992-08-24,34,V ugm-3
1992-08-25,46,V ugm-3
1992-08-26,34,V ugm-3
1992-08-27,44,V ugm-3
1992-08-28,50,V ugm-3
1992-08-29,52,V ugm-3
1992-08-30,52,V ugm-3
1992-08-31,50,V ugm-3
1992-09-01,36,V ugm-3
1992-09-02,54,V ugm-3
1992-09-03,30,V ugm-3
1992-09-04,42,V ugm-3
1992-09-05,40,V ugm-3
1992-09-06,50,V ugm-3
1992-09-07,68,V ugm-3
1992-09-08,36,V ugm-3
1992-09-09,24,V ugm-3
1992-09-10,50,V ugm-3
1992-09-11,52,V ugm-3
1992-09-12,28,V ugm-3
1992-09-13,30,V ugm-3
1992-09-14,24,V ugm-3
1992-09-15,30,V ugm-3
1992-09-16,36,V ugm-3
1992-09-17,8,V ugm-3
1992-09-18,18,V ugm-3
1992-09-19,12,V ugm-3
1992-09-20,30,V ugm-3
1992-09-21,10,V ugm-3
1992-09-22,12,V ugm-3
1992-09-23,20,V ugm-3
1992-09-24,24,V ugm-3
1992-09-25,14,V ugm-3
1992-09-26,48,V ugm-3
1992-09-27,30,V ugm-3
1992-09-28,6,V ugm-3
1992-09-29,42,V ugm-3
1992-09-30,28,V ugm-3
1992-10-01,24,V ugm-3
1992-10-02,24,V ugm-3
1992-10-03,20,V ugm-3
1992-10-04,64,V ugm-3
1992-10-05,56,V ugm-3
1992-10-06,50,V ugm-3
1992-10-07,44,V ugm-3
1992-10-08,26,V ugm-3
1992-10-09,18,V ugm-3
1992-10-10,30,V ugm-3
1992-10-11,30,V ugm-3
1992-10-12,40,V ugm-3
1992-10-13,18,V ugm-3
1992-10-14,22,V ugm-3
1992-10-15,28,V ugm-3
1992-10-16,18,V ugm-3
1992-10-17,20,V ugm-3
1992-10-18,16,V ugm-3
1992-10-19,6,V ugm-3
1992-10-20,24,V ugm-3
1992-10-21,38,V ugm-3
1992-10-22,4,V ugm-3
1992-10-23,24,V ugm-3
1992-10-24,22,V ugm-3
1992-10-25,48,V ugm-3
1992-10-26,8,V ugm-3
1992-10-27,12,V ugm-3
1992-10-28,34,V ugm-3
1992-10-29,30,V ugm-3
1992-10-30,8,V ugm-3
1992-10-31,12,V ugm-3
1992-11-01,32,V ugm-3
1992-11-02,56,V ugm-3
1992-11-03,22,V ugm-3
1992-11-04,10,V ugm-3
1992-11-05,16,V ugm-3
1992-11-06,4,V ugm-3
1992-11-07,32,V ugm-3
1992-11-08,8,V ugm-3
1992-11-09,20,V ugm-3
1992-11-10,22,V ugm-3
1992-11-11,46,V ugm-3
1992-11-12,44,V ugm-3
1992-11-13,18,V ugm-3
1992-11-14,8,V ugm-3
1992-11-15,22,V ugm-3
1992-11-16,12,V ugm-3
1992-11-17,20,V ugm-3
1992-11-18,12,V ugm-3
1992-11-19,44,V ugm-3
1992-11-20,8,V ugm-3
1992-11-21,14,V ugm-3
1992-11-22,40,V ugm-3
1992-11-23,54,V ugm-3
1992-11-24,42,V ugm-3
1992-11-25,70,V ugm-3
1992-11-26,40,V ugm-3
1992-11-27,14,V ugm-3
1992-11-28,28,V ugm-3
1992-11-29,20,V ugm-3
1992-11-30,44,V ugm-3
1992-12-01,48,V ugm-3
1992-12-02,54,V ugm-3
1992-12-03,48,V ugm-3
1992-12-04,22,V ugm-3
1992-12-05,12,V ugm-3
1992-12-06,22,V ugm-3
1992-12-07,24,V ugm-3
1992-12-08,6,V ugm-3
1992-12-09,4,V ugm-3
1992-12-10,6,V ugm-3
1992-12-11,4,V ugm-3
1992-12-12,34,V ugm-3
1992-12-13,16,V ugm-3
1992-12-14,42,V ugm-3
1992-12-15,26,V ugm-3
1992-12-16,20,V ugm-3
1992-12-17,22,V ugm-3
1992-12-18,36,V ugm-3
1992-12-19,24,V ugm-3
1992-12-20,22,V ugm-3
1992-12-21,6,V ugm-3
1992-12-22,4,V ugm-3
1992-12-23,6,V ugm-3
1992-12-24,6,V ugm-3
1992-12-25,4,V ugm-3
1992-12-26,18,V ugm-3
1992-12-27,24,V ugm-3
1992-12-28,16,V ugm-3
1992-12-29,8,V ugm-3
1992-12-30,8,V ugm-3
1992-12-31,8,V ugm-3
1993-01-01,6,V ugm-3
1993-01-02,10,V ugm-3
1993-01-03,14,V ugm-3
1993-01-04,No data,V ugm-3
1993-01-05,No data,V ugm-3
1993-01-06,No data,V ugm-3
1993-01-07,No data,V ugm-3
1993-01-08,46,V ugm-3
1993-01-09,48,V ugm-3
1993-01-10,52,V ugm-3
1993-01-11,60,V ugm-3
1993-01-12,48,V ugm-3
1993-01-13,46,V ugm-3
1993-01-14,48,V ugm-3
1993-01-15,46,V ugm-3
1993-01-16,48,V ugm-3
1993-01-17,54,V ugm-3
1993-01-18,34,V ugm-3
1993-01-19,56,V ugm-3
1993-01-20,52,V ugm-3
1993-01-21,42,V ugm-3
1993-01-22,60,V ugm-3
1993-01-23,40,V ugm-3
1993-01-24,66,V ugm-3
1993-01-25,62,V ugm-3
1993-01-26,8,V ugm-3
1993-01-27,18,V ugm-3
1993-01-28,20,V ugm-3
