Date,Year,Ozone
01/01/1992,1992,NA
02/01/1992,1992,NA
03/01/1992,1992,NA
04/01/1992,1992,NA
05/01/1992,1992,NA
06/01/1992,1992,NA
07/01/1992,1992,NA
08/01/1992,1992,NA
09/01/1992,1992,NA
10/01/1992,1992,NA
11/01/1992,1992,NA
12/01/1992,1992,NA
13/01/1992,1992,NA
14/01/1992,1992,NA
15/01/1992,1992,NA
16/01/1992,1992,NA
17/01/1992,1992,NA
18/01/1992,1992,NA
19/01/1992,1992,NA
20/01/1992,1992,NA
21/01/1992,1992,NA
22/01/1992,1992,NA
23/01/1992,1992,6
24/01/1992,1992,8
25/01/1992,1992,6
26/01/1992,1992,16
27/01/1992,1992,NA
28/01/1992,1992,NA
29/01/1992,1992,34
30/01/1992,1992,6
31/01/1992,1992,6
01/02/1992,1992,8
02/02/1992,1992,12
03/02/1992,1992,40
04/02/1992,1992,36
05/02/1992,1992,42
06/02/1992,1992,14
07/02/1992,1992,28
08/02/1992,1992,22
09/02/1992,1992,44
10/02/1992,1992,36
11/02/1992,1992,28
12/02/1992,1992,24
13/02/1992,1992,34
14/02/1992,1992,22
15/02/1992,1992,40
16/02/1992,1992,42
17/02/1992,1992,22
18/02/1992,1992,24
19/02/1992,1992,10
20/02/1992,1992,14
21/02/1992,1992,10
22/02/1992,1992,32
23/02/1992,1992,54
24/02/1992,1992,62
25/02/1992,1992,10
26/02/1992,1992,20
27/02/1992,1992,42
28/02/1992,1992,46
29/02/1992,1992,56
01/03/1992,1992,46
02/03/1992,1992,42
03/03/1992,1992,62
04/03/1992,1992,28
05/03/1992,1992,16
06/03/1992,1992,42
07/03/1992,1992,30
08/03/1992,1992,30
09/03/1992,1992,40
10/03/1992,1992,46
11/03/1992,1992,44
12/03/1992,1992,62
13/03/1992,1992,70
14/03/1992,1992,68
15/03/1992,1992,32
16/03/1992,1992,8
17/03/1992,1992,34
18/03/1992,1992,34
19/03/1992,1992,38
20/03/1992,1992,52
21/03/1992,1992,64
22/03/1992,1992,58
23/03/1992,1992,50
24/03/1992,1992,70
25/03/1992,1992,36
26/03/1992,1992,56
27/03/1992,1992,52
28/03/1992,1992,50
29/03/1992,1992,40
30/03/1992,1992,60
31/03/1992,1992,54
01/04/1992,1992,52
02/04/1992,1992,40
03/04/1992,1992,56
04/04/1992,1992,46
05/04/1992,1992,70
06/04/1992,1992,44
07/04/1992,1992,64
08/04/1992,1992,48
09/04/1992,1992,54
10/04/1992,1992,62
11/04/1992,1992,132
12/04/1992,1992,56
13/04/1992,1992,62
14/04/1992,1992,74
15/04/1992,1992,64
16/04/1992,1992,56
17/04/1992,1992,32
18/04/1992,1992,46
19/04/1992,1992,44
20/04/1992,1992,64
21/04/1992,1992,66
22/04/1992,1992,40
23/04/1992,1992,52
24/04/1992,1992,54
25/04/1992,1992,60
26/04/1992,1992,70
27/04/1992,1992,64
28/04/1992,1992,60
29/04/1992,1992,44
30/04/1992,1992,40
01/05/1992,1992,40
02/05/1992,1992,60
03/05/1992,1992,80
04/05/1992,1992,102
05/05/1992,1992,14
06/05/1992,1992,52
07/05/1992,1992,46
08/05/1992,1992,54
09/05/1992,1992,56
10/05/1992,1992,44
11/05/1992,1992,56
12/05/1992,1992,66
13/05/1992,1992,56
14/05/1992,1992,98
15/05/1992,1992,58
16/05/1992,1992,80
17/05/1992,1992,60
18/05/1992,1992,52
19/05/1992,1992,80
20/05/1992,1992,90
21/05/1992,1992,102
22/05/1992,1992,124
23/05/1992,1992,140
24/05/1992,1992,118
25/05/1992,1992,128
26/05/1992,1992,116
27/05/1992,1992,NA
28/05/1992,1992,NA
29/05/1992,1992,NA
30/05/1992,1992,NA
31/05/1992,1992,NA
01/06/1992,1992,76
02/06/1992,1992,74
03/06/1992,1992,70
04/06/1992,1992,48
05/06/1992,1992,50
06/06/1992,1992,72
07/06/1992,1992,76
08/06/1992,1992,110
09/06/1992,1992,44
10/06/1992,1992,60
11/06/1992,1992,70
12/06/1992,1992,74
13/06/1992,1992,100
14/06/1992,1992,146
15/06/1992,1992,108
16/06/1992,1992,56
17/06/1992,1992,50
18/06/1992,1992,38
19/06/1992,1992,30
20/06/1992,1992,60
21/06/1992,1992,66
22/06/1992,1992,52
23/06/1992,1992,54
24/06/1992,1992,46
25/06/1992,1992,72
26/06/1992,1992,88
27/06/1992,1992,132
28/06/1992,1992,106
29/06/1992,1992,124
30/06/1992,1992,98
01/07/1992,1992,76
02/07/1992,1992,48
03/07/1992,1992,36
04/07/1992,1992,46
05/07/1992,1992,52
06/07/1992,1992,60
07/07/1992,1992,44
08/07/1992,1992,22
09/07/1992,1992,26
10/07/1992,1992,48
11/07/1992,1992,28
12/07/1992,1992,52
13/07/1992,1992,42
14/07/1992,1992,24
15/07/1992,1992,24
16/07/1992,1992,44
17/07/1992,1992,40
18/07/1992,1992,50
19/07/1992,1992,38
20/07/1992,1992,32
21/07/1992,1992,62
22/07/1992,1992,58
23/07/1992,1992,72
24/07/1992,1992,54
25/07/1992,1992,66
26/07/1992,1992,34
27/07/1992,1992,42
28/07/1992,1992,56
29/07/1992,1992,56
30/07/1992,1992,144
31/07/1992,1992,56
01/08/1992,1992,128
02/08/1992,1992,42
03/08/1992,1992,54
04/08/1992,1992,50
05/08/1992,1992,46
06/08/1992,1992,50
07/08/1992,1992,48
08/08/1992,1992,80
09/08/1992,1992,76
10/08/1992,1992,50
11/08/1992,1992,36
12/08/1992,1992,40
13/08/1992,1992,36
14/08/1992,1992,22
15/08/1992,1992,84
16/08/1992,1992,50
17/08/1992,1992,32
18/08/1992,1992,18
19/08/1992,1992,NA
20/08/1992,1992,44
21/08/1992,1992,38
22/08/1992,1992,32
23/08/1992,1992,44
24/08/1992,1992,34
25/08/1992,1992,46
26/08/1992,1992,34
27/08/1992,1992,44
28/08/1992,1992,50
29/08/1992,1992,52
30/08/1992,1992,52
31/08/1992,1992,50
01/09/1992,1992,36
02/09/1992,1992,54
03/09/1992,1992,30
04/09/1992,1992,42
05/09/1992,1992,40
06/09/1992,1992,50
07/09/1992,1992,68
08/09/1992,1992,36
09/09/1992,1992,24
10/09/1992,1992,50
11/09/1992,1992,52
12/09/1992,1992,28
13/09/1992,1992,30
14/09/1992,1992,24
15/09/1992,1992,30
16/09/1992,1992,36
17/09/1992,1992,8
18/09/1992,1992,18
19/09/1992,1992,12
20/09/1992,1992,30
21/09/1992,1992,10
22/09/1992,1992,12
23/09/1992,1992,20
24/09/1992,1992,24
25/09/1992,1992,14
26/09/1992,1992,48
27/09/1992,1992,30
28/09/1992,1992,6
29/09/1992,1992,42
30/09/1992,1992,28
01/10/1992,1992,24
02/10/1992,1992,24
03/10/1992,1992,20
04/10/1992,1992,64
05/10/1992,1992,56
06/10/1992,1992,50
07/10/1992,1992,44
08/10/1992,1992,26
09/10/1992,1992,18
10/10/1992,1992,30
11/10/1992,1992,30
12/10/1992,1992,40
13/10/1992,1992,18
14/10/1992,1992,22
15/10/1992,1992,28
